,location,price,entered,updated,views,link
687,"10 Charleville Mall, Dublin 3, North Dublin City",1650.0,,24.07.2020,392,http://www.daft.ie/dublin/apartments-for-rent/dublin-3/10-charleville-mall-dublin-3-dublin-2050354/
688,"Custom House Square, Dublin 1, Dublin City Centre",1650.0,"Jul 23, 2020",23.07.2020,89,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/custom-house-square-dublin-1-dublin-2053657/
689,"Glencarrig Court, 115 Richmond Road, Drumcondra, Dublin 3, North Dublin City",1650.0,,24.07.2020,3095,http://www.daft.ie/dublin/apartments-for-rent/drumcondra/glencarrig-court-115-richmond-road-drumcondra-dublin-2043342/
690,"Apartment 2, 55 Capel Street, Dublin 1, Dublin City Centre",1650.0,,25.07.2020,482,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/apartment-2-55-capel-street-dublin-1-dublin-2036361/
691,"Coldcut Road, Clondalkin, Dublin 22, West Co. Dublin",1650.0,"Jul 24, 2020",24.07.2020,306,http://www.daft.ie/dublin/apartments-for-rent/clondalkin/coldcut-road-clondalkin-dublin-2053802/
692,"Jellet House, Deans Court, Dublin 8, South Dublin City",1650.0,,24.07.2020,1570,http://www.daft.ie/dublin/apartments-for-rent/dublin-8/jellet-house-deans-court-dublin-8-dublin-2047466/
693,"Reuben Square, Dolphin'S Barn Street (Ice Rink Apartments), Dublin 8, South Dublin City",1650.0,,23.07.2020,555,http://www.daft.ie/dublin/apartments-for-rent/dublin-8/reuben-square-dolphins-barn-street-ice-rink-apartments-dublin-8-dublin-2038447/
694,"Beresford House, Custom House Square, Ifsc, Dublin 1, Dublin City Centre",1650.0,,22.07.2020,165,http://www.daft.ie/dublin/apartments-for-rent/ifsc/beresford-house-custom-house-square-ifsc-dublin-2051601/
695,"Cow'S Lane, Temple Bar, Dublin 2, Dublin City Centre",1650.0,"Jul 14, 2020",23.07.2020,531,http://www.daft.ie/dublin/apartments-for-rent/temple-bar/cows-lane-temple-bar-dublin-2050732/
696,"Castaheany, Clonee, Dublin 15, West Co. Dublin",1650.0,"Jul 06, 2020",20.07.2020,2177,http://www.daft.ie/dublin/houses-for-rent/clonee/castaheany-clonee-dublin-2047745/
697,"Temple Place, Grenville Street, Dublin 1, Dublin City Centre",1650.0,"Jul 11, 2020",22.07.2020,253,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/temple-place-grenville-street-dublin-1-dublin-2049621/
698,"The Green, Larch Hill, Santry, Dublin 9, North Dublin City",1650.0,,22.07.2020,501,http://www.daft.ie/dublin/apartments-for-rent/santry/the-green-larch-hill-santry-dublin-2053279/
699,"74 Tolka Vale, Finglas Road, Finglas, Dublin 11, North Dublin City",1650.0,,20.07.2020,676,http://www.daft.ie/dublin/apartments-for-rent/finglas/74-tolka-vale-finglas-road-finglas-dublin-2051661/
700,"Morehampton Square, Donnybrook, Dublin 4, South Dublin City",1650.0,,20.07.2020,2443,http://www.daft.ie/dublin/apartments-for-rent/donnybrook/morehampton-square-donnybrook-dublin-2040310/
701,"Second Floor, Mountjoy Square East, Dublin 1, Dublin City Centre",1650.0,,24.07.2020,294,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/second-floor-mountjoy-square-east-dublin-1-dublin-2051332/
702,"30 Innisfallen Parade, North Circular Road, Dublin 7, North Dublin City",1650.0,"Jul 20, 2020",24.07.2020,896,http://www.daft.ie/dublin/houses-for-rent/north-circular-road/30-innisfallen-parade-north-circular-road-dublin-2052551/
703,"42 Malton House, Ifsc, Dublin 1, Dublin City Centre",1650.0,,25.07.2020,551,http://www.daft.ie/dublin/apartments-for-rent/ifsc/42-malton-house-ifsc-dublin-2036497/
704,"The Maltings, Bonham Street, Dublin 8, South Dublin City",1650.0,"Jul 14, 2020",26.07.2020,364,http://www.daft.ie/dublin/apartments-for-rent/dublin-8/the-maltings-bonham-street-dublin-8-dublin-2050538/
705,"Premier Square, Finglas Road, Glasnevin, Dublin 11, North Dublin City",1650.0,,25.07.2020,1126,http://www.daft.ie/dublin/apartments-for-rent/glasnevin/premier-square-finglas-road-glasnevin-dublin-2050688/
706,"Wellington Quay, Dublin 2, Dublin City Centre",1650.0,"May 04, 2020",26.07.2020,2284,http://www.daft.ie/dublin/apartments-for-rent/dublin-2/wellington-quay-dublin-2-dublin-2026608/
707,"High Street, Christchurch, Dublin 8, Dublin City Centre",1650.0,"Jul 06, 2020",25.07.2020,168,http://www.daft.ie/dublin/apartments-for-rent/christchurch/high-street-christchurch-dublin-2047841/
708,"Wellington Lodge, Serpentine Avenue, Ballsbridge, Dublin 4, South Dublin City",1650.0,"Jun 14, 2020",08.07.2020,3042,http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/wellington-lodge-serpentine-avenue-ballsbridge-dublin-2039902/
709,"Westland Square, Pearse Street, Dublin 2, Dublin City Centre",1650.0,,24.07.2020,246,http://www.daft.ie/dublin/apartments-for-rent/dublin-2/westland-square-pearse-street-dublin-2-dublin-2050936/
710,"37 North Lotts Road, Dublin 1, Dublin City Centre",1650.0,"Jul 22, 2020",23.07.2020,257,http://www.daft.ie/dublin/apartments-for-rent/dublin-1/37-north-lotts-road-dublin-1-dublin-2053315/
711,"Flat 4, 607 North Circular Road, North Circular Road, Dublin 7, North Dublin City",1650.0,"Jul 26, 2020",26.07.2020,40,http://www.daft.ie/dublin/apartments-for-rent/north-circular-road/flat-4-607-north-circular-road-north-circular-road-dublin-2054184/
712,"Cullenswood Northbrook Road, Ranelagh, Dublin 6, South Dublin City",1650.0,"Jul 18, 2020",24.07.2020,770,http://www.daft.ie/dublin/apartments-for-rent/ranelagh/cullenswood-northbrook-road-ranelagh-dublin-2051958/
713,"Apt. 5B Ballyfermot Road, Ballyfermot, Ballyfermot, Dublin 10, South Dublin City",1650.0,,21.07.2020,2258,http://www.daft.ie/dublin/apartments-for-rent/ballyfermot/apt-5b-ballyfermot-road-ballyfermot-ballyfermot-dublin-2028051/
714,"Blessington Street, Phibsborough, Dublin 7, North Dublin City",1650.0,"Jul 13, 2020",25.07.2020,989,http://www.daft.ie/dublin/apartments-for-rent/phibsborough/blessington-street-phibsborough-dublin-2049854/
715,"Westpark Gate, Tallaght Village, Tallaght, Dublin 24, South Co. Dublin",1650.0,"Jul 23, 2020",25.07.2020,283,http://www.daft.ie/dublin/apartments-for-rent/tallaght/westpark-gate-tallaght-village-tallaght-dublin-2053452/
